200,52933126,7665063,55371978,62339110,114.87,16.63,120.17,135.28
300,574927,4039886,49535904,61956608,1.25,8.77,107.5,134.45
400,343536,2352095,43754809,60959723,0.75,5.1,94.95,132.29
500,228598,1704977,38093752,60243543,0.5,3.7,82.67,130.74
600,161445,1235353,33265506,59771217,0.35,2.68,72.19,129.71
700,122575,936646,29206331,58812450,0.27,2.03,63.38,127.63
800,97334,737180,25577504,57263537,0.21,1.6,55.51,124.27
900,77385,415207,20344135,56334546,0.17,0.9,44.15,122.25
1000,63827,431875,14932106,54735882,0.14,0.94,32.41,118.78
1100,54086,362251,6383153,53613683,0.12,0.79,13.85,116.35
1200,46319,346615,636475,52225206,0.1,0.75,1.38,113.34
1300,39926,305748,14300385,50853254,0.09,0.66,31.03,110.36
1400,35379,262332,12937486,49358298,0.08,0.57,28.08,107.11
1500,31387,231730,7421188,48213768,0.07,0.5,16.11,104.63
1600,529207,207357,1521433,46855196,1.15,0.45,3.3,101.68
1700,25264,184826,1314679,45522609,0.06,0.4,2.85,98.79
1800,862427,167845,2798363,44207118,1.87,0.36,6.07,95.94
1900,20360,148642,2433988,43161609,0.04,0.32,5.28,93.67
2000,18652,137940,2658354,41943578,0.04,0.3,5.77,91.02
2100,17152,17677,645375,40476382,0.04,0.04,1.4,87.84
2200,16227,115440,1551619,39413446,0.04,0.25,3.37,85.53
2300,14866,107005,5775360,38279999,0.03,0.23,12.53,83.07
2400,13930,99300,4298288,37116855,0.03,0.21,9.33,80.55
2500,12854,91604,2836614,36147004,0.03,0.2,6.16,78.44
2600,12377,12085,5085144,35135966,0.03,0.03,11.04,76.25
2700,11513,78792,167642,34106071,0.03,0.17,0.36,74.02
2800,10573,55573,991290,33129361,0.02,0.12,2.15,71.89
2900,10015,10269,3662510,32139483,0.02,0.02,7.95,69.75
3000,9660,9646,4033343,31185729,0.02,0.02,8.75,67.68
3100,9042,62245,1672892,30419991,0.02,0.14,3.63,66.02
3200,8691,52322,1054618,29530914,0.02,0.11,2.29,64.09
3300,8256,55975,3073815,28726456,0.02,0.12,6.67,62.34
3400,7867,13671,1611277,27838454,0.02,0.03,3.5,60.41
3500,7532,37803,3125492,27093635,0.02,0.08,6.78,58.8
3600,7234,37913,2979997,26389338,0.02,0.08,6.47,57.27
3700,6924,45404,2315092,25565227,0.01,0.1,5.02,55.48
3800,6647,43681,1560436,24871572,0.01,0.1,3.39,53.98
3900,6396,40701,1789720,24247660,0.01,0.09,3.88,52.62
4000,6149,10141,2481332,23675667,0.01,0.02,5.38,51.38
